n_timesteps,train-AverageDiscountedReturn,train-AverageReturn,train-StdReturn,LossAfter,ItrTime,Time-Sampling,train-EnvExecTime,Itr,Time-SampleProc,train-MinReturn,Time,train-MaxReturn,LossBefore,Time-Optimization,train-NumTrajs,train-PolicyExecTime
670000,131.8275741845383,229.9912414755107,11.695059008307933,-0.0032373115,17.590993642807007,17.322993278503418,2.8684895038604736,66,0.021000385284423828,187.26448546149268,1226.0767781734467,247.39472947635963,-7.6251645e-06,0.24599981307983398,100,14.174137353897095
680000,132.69375374256447,231.89538888670384,9.552330775465045,-0.0040770057,17.81999135017395,17.549995183944702,2.912545919418335,67,0.017998456954956055,190.03462187366463,1243.9097692966461,247.54317938647839,-7.5569674e-06,0.24999761581420898,100,14.37607192993164
690000,133.9698369429307,234.46877666001282,6.658377243177873,-0.0013645092,17.567991256713867,17.300997495651245,2.8868649005889893,68,0.018994569778442383,220.11960919662874,1261.4897623062134,256.90057027237964,-7.498715e-06,0.24700117111206055,100,14.150562763214111
700000,132.7154273865679,232.0580451437055,10.852243181080105,-0.0029637637,17.76098895072937,17.490025520324707,2.9714834690093994,69,0.022969484329223633,184.63286533261032,1279.2647550106049,255.43429475441653,-7.3970004e-06,0.24599790573120117,100,14.257466077804565
710000,134.08709291553197,234.73633141883911,5.446162211273003,-0.0021058936,17.694992542266846,17.42499351501465,2.917295217514038,70,0.025029897689819336,219.48726334729358,1296.9727478027344,251.25142065585774,-7.364167e-06,0.24396777153015137,100,14.25165867805481
720000,133.98580719526538,234.6167417770517,6.444763263387046,-0.0019285002,17.67599105834961,17.400996208190918,2.9318532943725586,71,0.017996549606323242,206.96533950957485,1314.6617405414581,251.94449343696948,-7.2744456e-06,0.25499916076660156,100,14.165734767913818
730000,133.34159489922487,233.5192292264197,8.745920278546743,-0.0006261303,17.660990715026855,17.39899492263794,2.88156795501709,72,0.019998788833618164,200.30675335789078,1332.3367331027985,249.71508256090112,-7.1784225e-06,0.24099445343017578,100,14.23622179031372
740000,133.85519274262174,234.3290065016638,5.937360763951067,0.001960583,17.68799352645874,17.401991844177246,2.8497631549835205,73,0.020999670028686523,216.35851621303004,1350.0387284755707,250.30006129570435,-7.1297004e-06,0.2650020122528076,100,14.265859127044678
750000,133.76531568646107,234.2770035076898,9.71072316520055,-0.0025799884,17.581993103027344,17.30899691581726,2.9255850315093994,74,0.02499532699584961,192.97717765242137,1367.633719444275,250.14139137445343,-7.06516e-06,0.2480008602142334,100,14.119235038757324
760000,133.71201027646396,234.26190543775516,7.567327783136786,-0.0029323671,17.441993236541748,17.17899751663208,2.948213577270508,75,0.020995616912841797,213.10448324000217,1385.0877125263214,253.77495868396872,-6.998108e-06,0.24100041389465332,100,13.983906507492065
770000,134.04776837465442,235.1420484467369,9.978671236093065,0.0061733737,17.55799674987793,17.281994104385376,2.8825764656066895,76,0.023001670837402344,199.58041842865273,1402.6587090492249,253.16141796967838,-6.8941317e-06,0.25300097465515137,100,14.15762972831726
