train-MinReturn,n_timesteps,train-PolicyExecTime,train-AverageReturn,ItrTime,train-StdReturn,train-EnvExecTime,Time-Optimization,Time,train-NumTrajs,train-MaxReturn,LossAfter,Time-SampleProc,Itr,LossBefore,Time-Sampling,train-AverageDiscountedReturn
45.81646572767424,1720000,13.928537607192993,130.85606464304354,17.080992937088013,32.30416710574617,2.6280267238616943,0.2540018558502197,2879.969705104828,100,203.60955392248115,-0.0019239304,0.020966291427612305,171,1.525879e-08,16.80602478981018,75.37722069548781
71.78726186366278,1730000,13.760836839675903,144.44730841597428,16.743992567062378,26.54991983902123,2.4193532466888428,0.2669978141784668,2896.7266948223114,100,225.53050183277134,-0.005944681,0.03099989891052246,172,3.0517577e-09,16.444993019104004,82.68222386711756
42.91212466535587,1740000,13.690298795700073,140.14574942471666,16.728992462158203,32.2885421633236,2.497985363006592,0.2599666118621826,2913.468686580658,100,202.79071290578383,-0.01421388,0.030000925064086914,173,3.051758e-08,16.439024925231934,80.8919923230361
32.68953677463074,1750000,13.644644260406494,141.16831581616736,16.72599148750305,31.826616416395783,2.496229410171509,0.26596617698669434,2930.207678079605,100,198.4574396193833,-0.011203856,0.027032852172851562,174,1.373291e-08,16.432992458343506,81.14189738381674
16.010047996113535,1760000,13.57404351234436,135.31859437248465,16.569994688034058,33.787459299776934,2.4622907638549805,0.25797176361083984,2946.7906725406647,100,206.6803790858763,-0.009873816,0.028028011322021484,175,-2.4414062e-08,16.28299379348755,77.9316017716494
96.09409664660971,1770000,13.589990615844727,146.18517453289513,16.715990781784058,24.908773838932248,2.551905870437622,0.27100110054016113,2963.520661354065,100,201.34663711669185,-0.009252452,0.026967287063598633,176,3.0517577e-09,16.418022394180298,83.80019541320434
-5.3099926905716455,1780000,13.752317667007446,141.39950678610342,16.789992809295654,35.2593598811937,2.498274564743042,0.25100040435791016,2980.323654651642,100,213.00392432477986,-0.007643692,0.021997928619384766,177,-6.1035155e-09,16.515995025634766,80.4600974565083
47.10200144327918,1790000,13.657353401184082,143.89387955892727,16.64399027824402,29.030560656112144,2.4507298469543457,0.260998010635376,2996.98064494133,100,209.4325599736314,-0.010906439,0.02097630500793457,178,1.2207031e-08,16.362015962600708,82.83064159770906
24.099728905382154,1800000,13.734472751617432,144.97224333368737,16.776991844177246,29.797112017983054,2.478837490081787,0.2650003433227539,3013.771636724472,100,211.56008744491092,-0.0147205815,0.029996156692504883,179,0.009268106,16.481995344161987,83.01535991236591
75.19716520589797,1810000,13.748508930206299,142.52416470200927,16.82598876953125,26.74841139938098,2.4949750900268555,0.2579996585845947,3030.6106276512146,100,212.91797167288445,-0.0127767585,0.027997255325317383,180,-1.5258789e-09,16.539991855621338,82.23266967528154
