train-PolicyExecTime,train-MaxReturn,train-StdReturn,train-AverageReturn,n_timesteps,Time-Sampling,ItrTime,Time-Optimization,Time,LossBefore,Itr,train-NumTrajs,train-MinReturn,LossAfter,Time-SampleProc,train-EnvExecTime,train-AverageDiscountedReturn
13.958752632141113,110.46452357398736,54.18343595201053,-22.062689861737557,2160000,16.63186812400818,16.917866945266724,0.2630012035369873,3689.2429831027985,1.9073487e-09,215,100,-181.05849457894212,-0.08137324,0.021997690200805664,2.411428213119507,-8.678772471793588
13.836236000061035,118.27857307665332,54.75265175680072,-21.060250150871344,2170000,16.627186059951782,16.90515112876892,0.25099802017211914,3706.1611335277557,-2.2888184e-08,216,100,-157.13069312701117,-1.5890903,0.02696704864501953,2.542447090148926,-8.69931902881709
14.05312466621399,222.84825704954642,69.12215573270288,-25.67089986968483,2180000,16.9012713432312,17.176241159439087,0.25300121307373047,3723.350373983383,1.8310548e-08,217,100,-207.68072181097438,-0.35904518,0.02096700668334961,2.581803321838379,-12.132305185168375
14.028870344161987,124.561900974816,55.42720859661855,-35.064166582148964,2190000,16.805336713790894,17.086307525634766,0.25299692153930664,3740.4496805667877,-1.2207031e-08,218,100,-164.42865494279928,-3.7024477,0.02697157859802246,2.5128400325775146,-18.595459224718194
13.826360940933228,114.77877007305071,52.91677171263281,-36.026165861685136,2200000,16.641562461853027,16.918530225753784,0.25299978256225586,3757.3812108039856,-3.051758e-08,219,100,-173.6283801822198,-0.028498963,0.02200007438659668,2.565861463546753,-21.365264580364574
13.759958028793335,116.27110974421001,43.8213438514489,-38.138734378507266,2210000,16.511257886886597,16.788256406784058,0.25099921226501465,3774.1824667453766,-4.4250488e-08,220,100,-143.04183926381177,-0.08343507,0.025002002716064453,2.4833106994628906,-23.203238368539996
13.566247701644897,202.94498066072464,51.00711961880332,-24.413695505328864,2220000,16.355425596237183,16.62938380241394,0.2499995231628418,3790.824849843979,3.051758e-08,221,100,-153.5911913187705,-0.101370834,0.021959543228149414,2.539257049560547,-14.317223275714307
13.147982835769653,94.10700574595131,49.56897073343947,-33.53217732720746,2230000,15.941256046295166,16.2172269821167,0.25299882888793945,3807.055075645447,2.5939942e-08,222,100,-148.7963964757169,-0.013061775,0.022000789642333984,2.53822922706604,-20.193842286429106
13.593517780303955,126.4858239841584,46.378761464908415,-22.94145689316976,2240000,16.446690320968628,16.726689338684082,0.2520005702972412,3823.795764684677,3.0517577e-09,223,100,-176.74655752061122,-0.022229727,0.02799844741821289,2.5476391315460205,-13.636382775782602
13.598657369613647,113.93274014945344,44.38798231951248,-26.89019945784565,2250000,16.4336416721344,16.711639165878296,0.25299835205078125,3840.520402908325,5.817413e-09,224,100,-137.13321345389048,-0.019478524,0.023998260498046875,2.578117609024048,-16.290207272795218
13.781203031539917,86.97988190680856,45.03149789676699,-26.783803483085734,2260000,16.562575817108154,16.838575839996338,0.253983736038208,3857.372978925705,6.1035155e-09,225,100,-151.80051762828586,-0.017188136,0.020033597946166992,2.551825761795044,-15.446517922191184
13.592345952987671,88.71562386191196,44.46745490962434,-26.205067673203953,2270000,16.30388855934143,16.785862922668457,0.451998233795166,3874.170840024948,-1.2207031e-08,226,100,-138.70654781968082,-0.01219242,0.028975725173950195,2.47985577583313,-14.631988156763482
13.310032367706299,87.36305556335051,45.55948444942586,-28.742787922674303,2280000,16.076446771621704,16.378446340560913,0.27199888229370117,3890.562285423279,-6.1035155e-09,227,100,-122.36445779720039,-0.023285178,0.02800154685974121,2.507239818572998,-17.17784150026842
13.611599445343018,110.27390941457541,47.804503335857326,-25.443785703880298,2290000,16.407328844070435,16.691328763961792,0.25800061225891113,3907.2686138153076,6.1035155e-09,228,100,-121.74409038597842,-0.009398145,0.024999141693115234,2.5445754528045654,-15.864106060073556
13.75236177444458,92.85217514923735,48.64890010934567,-27.703874634167377,2300000,16.5162456035614,17.151241540908813,0.6089987754821777,3924.4328541755676,2.4414062e-08,229,100,-170.07426199457214,-0.014872391,0.02399754524230957,2.5103554725646973,-16.449928000224368
13.909282445907593,118.60473857407817,52.282872030563645,-26.1506883795036,2310000,16.757691144943237,17.036749839782715,0.25300025939941406,3941.4836041927338,1.525879e-08,230,100,-148.51101552787972,-0.023697764,0.023061037063598633,2.590980291366577,-15.443663282969792
14.968223094940186,104.76873617203677,44.92380062351805,-17.559569460455236,2320000,17.777440786361694,18.055413722991943,0.2519681453704834,3959.5530173778534,3.051758e-08,231,100,-143.6134467976402,-0.020219665,0.026004791259765625,2.5615193843841553,-10.146319530280202
16.203086853027344,93.48172049979523,49.600162969838046,-21.584404449665364,2330000,19.105174779891968,19.368140935897827,0.24100041389465332,3978.9341588020325,-6.1035155e-09,232,100,-142.60385079660645,-0.027971875,0.021965742111206055,2.637695550918579,-13.503407026206323
15.800973415374756,90.06827367026018,50.556716869657635,-22.192597792177363,2340000,18.54789972305298,18.815900325775146,0.24500107765197754,3997.7640583515167,7.368774e-05,233,100,-145.55438034766502,-0.013522803,0.02299952507019043,2.4807844161987305,-13.253766274880997
15.021640300750732,160.16202504276848,53.971812424657834,-24.011127790777273,2350000,18.018141746520996,18.290143251419067,0.24699974060058594,4016.068200111389,-5.912781e-09,234,100,-127.21728738222882,-0.0112143075,0.02400040626525879,2.5469911098480225,-14.382687425497448
14.580650091171265,124.84403955403697,50.82202149810372,-17.906892392478518,2360000,17.38411855697632,17.64954400062561,0.24100065231323242,4033.7317430973053,-0.00076245726,235,100,-147.82434168103597,-0.014117633,0.022006511688232422,2.5477449893951416,-10.210715359170994
14.522697687149048,144.05615534364117,50.373511108822214,-20.45633448668665,2370000,17.304060220718384,17.570061445236206,0.2389676570892334,4051.3148045539856,3.5095216e-08,236,100,-132.858983606909,-0.014462646,0.026032447814941406,2.544992208480835,-12.243668369525407
14.408146619796753,109.1467646554801,53.918504421327604,-24.777058085239624,2380000,17.187046766281128,17.46804690361023,0.26000046730041504,4068.7968497276306,-1.2207031e-08,237,100,-196.22990309953798,-0.014175769,0.020999670028686523,2.535834789276123,-13.926036258941359
14.275266170501709,115.03368819904244,51.37976323068872,-20.610683916481076,2390000,17.049113512039185,17.305670022964478,0.23000097274780273,4086.1175196170807,-2.4414062e-08,238,100,-131.92321594962178,-0.021650134,0.025609493255615234,2.5178582668304443,-12.395661086284301
14.284759759902954,93.91899405520637,49.15012338136047,-19.189339847491826,2400000,17.03659152984619,17.287590742111206,0.22999978065490723,4103.418109416962,-1.8310548e-08,239,100,-174.71367184676384,-0.015400098,0.020999431610107422,2.4905550479888916,-10.442973845839822
