n_timesteps,train-EnvExecTime,train-NumTrajs,Time-SampleProc,train-PolicyExecTime,Itr,Time-Sampling,Time,train-StdReturn,LossBefore,train-MaxReturn,train-MinReturn,ItrTime,train-AverageDiscountedReturn,LossAfter,Time-Optimization,train-AverageReturn
910000,2.4882757663726807,100,0.023000717163085938,13.568562507629395,90,16.314990997314453,1509.7323508262634,32.78843566573777,-2.264056e-06,159.08686450152186,-13.73799615193397,16.590991020202637,42.100420652243365,-0.010205937,0.2519984245300293,72.42779153832387
920000,2.5274932384490967,100,0.021009206771850586,13.373578548431396,91,16.134017944335938,1526.1463422775269,34.15383660322337,-2.1524156e-06,134.0346080649334,-22.22891385615859,16.400991439819336,36.2457421611872,-0.011195588,0.2449634075164795,61.071629100025255
930000,2.5782768726348877,100,0.02196645736694336,13.538278818130493,92,16.350024938583374,1542.793334722519,34.63176922713154,-2.0565021e-06,145.72441371982072,-25.939230439298075,16.633992671966553,39.85758017936393,-0.009255287,0.261000394821167,67.90151836719058
940000,2.4815075397491455,100,0.021997928619384766,13.339251518249512,93,16.126993417739868,1559.1973266601562,34.83639389205805,-1.8913591e-06,140.43723396249786,-25.791966123174998,16.390992403030396,39.156466293594775,-0.011638129,0.23999881744384766,67.56001018177756
950000,2.489191770553589,100,0.02099919319152832,13.688452243804932,94,16.417991876602173,1575.9013180732727,33.648815982048056,-1.779493e-06,146.1114842159702,-5.346372969552284,16.690991640090942,44.586410773589634,-0.008355154,0.2500014305114746,75.55047066031517
960000,2.4696874618530273,100,0.02199864387512207,13.58513355255127,95,16.302993297576904,1592.4823093414307,32.22551890563614,-1.5758216e-06,145.44784712559928,-20.545791504226962,16.566991806030273,43.20173643887401,-0.0074409475,0.24199986457824707,72.63003091686323
970000,2.507594585418701,100,0.03200078010559082,13.598888874053955,96,16.360023260116577,1609.1313009262085,31.74179680707007,-1.3929463e-06,127.02603890511534,-19.64295482975517,16.633992433547974,43.1640877889713,-0.0060096825,0.24196839332580566,72.24558532513316
980000,2.4373559951782227,100,0.02899765968322754,13.549760103225708,97,16.253993034362793,1625.6692929267883,31.456105552255224,-1.2158763e-06,157.94073228279632,-7.904465040197021,16.524991989135742,42.22509501896638,-0.006602269,0.24200129508972168,72.07270363345475
990000,2.5060930252075195,100,0.02197742462158203,13.747704267501831,98,16.51001763343811,1642.4582841396332,31.059263647771186,-1.0869038e-06,134.89457417233203,-15.541351343040652,16.774991512298584,42.2318563942305,-0.01018118,0.2429964542388916,71.69496288669603
1000000,2.5128884315490723,100,0.021997690200805664,13.599570274353027,99,16.358994245529175,1659.1002762317657,26.965058162537698,-9.834635e-07,146.20791655212142,3.9668651864890587,16.628992557525635,45.21055356768936,-0.012572879,0.2480006217956543,76.1200021521593
1010000,2.51322603225708,100,0.029001474380493164,13.624529361724854,100,16.391993284225464,1675.8002679347992,28.564021460772146,-8.689045e-07,174.02764585754173,19.538059756632123,16.686992406845093,46.46686397565019,-0.0069416775,0.26599764823913574,78.39432956322008
1020000,2.531304121017456,100,0.029999732971191406,13.355196475982666,101,16.158992528915405,1692.2462589740753,29.79877926812632,-6.7706225e-07,167.74082101150907,1.6212027191205731,16.43299126625061,44.07310138971437,-0.0034645756,0.24399900436401367,74.74683309154015
1030000,2.521066188812256,100,0.02199697494506836,13.639888525009155,102,16.415993213653564,1708.947252035141,31.295668514409865,-4.8275706e-07,165.2342663625133,-20.770156967200982,16.687992095947266,44.48358209848141,-0.011406142,0.2500019073486328,76.96299676099093
1040000,2.5312981605529785,100,0.028002262115478516,13.446293115615845,103,16.273993253707886,1725.5032432079315,28.98771057474147,-3.134155e-07,144.63125701253668,-8.02098669822172,16.54199194908142,44.234721432439784,-0.011177418,0.23999643325805664,75.47786717621992
1050000,2.4928359985351562,100,0.029970645904541016,13.629613161087036,104,16.38790488243103,1742.1761157512665,30.67217947598872,-1.0807037e-07,149.17377897635657,6.6916204174699825,16.658873081207275,46.173262827012735,-0.009286381,0.2409975528717041,79.05182173874651
