train-AverageDiscountedReturn,train-EnvExecTime,LossBefore,Time-Optimization,Time-SampleProc,Time-Sampling,Time,train-StdReturn,Itr,n_timesteps,train-MinReturn,train-MaxReturn,ItrTime,train-PolicyExecTime,LossAfter,train-AverageReturn,train-NumTrajs
10.727268089278866,2.5655696392059326,-7.647566e-06,1.1251006126403809,0.10696625709533691,15.90199589729309,1251.9783539772034,22.947443747394054,73,740000,-43.88295742384835,72.47296357617498,17.136064052581787,13.08053708076477,-0.016818345,16.971819904784706,100
11.188569662118114,2.5247035026550293,-7.5200787e-06,1.2069964408874512,0.15296268463134766,16.133000135421753,1269.4973134994507,21.28860731957637,74,750000,-50.25977344560179,67.36814503972433,17.49295926094055,13.342371940612793,-0.016962048,17.411608480341393,100
13.595342628409128,2.4497482776641846,-7.394329e-06,1.2109644412994385,0.15799903869628906,16.543601512908936,1287.4458787441254,25.176654015171195,75,760000,-59.67313996743785,95.65728850558173,17.912564992904663,13.811304330825806,-0.01741252,22.034419939610448,100
10.404588253547942,2.583315134048462,-7.2578387e-06,0.25696754455566406,0.030030488967895508,16.4899640083313,1304.2558398246765,24.712105222373566,76,770000,-63.74081639190681,82.76415223834854,16.777961254119873,13.669374465942383,-0.017354751,16.93711496427601,100
11.249511010123872,2.59010648727417,-7.1360005e-06,0.25499582290649414,0.020975828170776367,16.537989377975464,1321.0838010311127,25.577830065558906,77,780000,-54.724644394647406,90.09165669813582,16.814960718154907,13.710046291351318,-0.0160488,17.693137862014222,100
10.91363192519525,2.5133283138275146,-7.0018186e-06,0.2559995651245117,0.025999784469604492,16.702702283859253,1338.0835030078888,21.534029137679198,78,790000,-30.68805477632017,70.99176401257981,16.9857017993927,13.92420744895935,-0.015712384,16.685356787068326,100
12.551437574256598,2.5743660926818848,-6.891906e-06,0.25499606132507324,0.019971132278442383,16.378995418548584,1354.75146484375,22.48785308636844,79,800000,-25.592278562641592,89.58797435234938,16.654962062835693,13.547637939453125,-0.015982976,19.632110164243944,100
11.114788003154926,2.463740348815918,-6.773327e-06,0.256000280380249,0.021996259689331055,16.5712788105011,1371.6147408485413,26.119633902846353,80,810000,-46.62790046567715,82.88858925355981,16.85027527809143,13.839892864227295,-0.01710609,18.19829637215888,100
13.518466031084344,2.5519888401031494,-6.6759367e-06,0.2480018138885498,0.024997949600219727,16.647686004638672,1388.5484261512756,22.70122357273757,81,820000,-32.13934037233262,91.99290712691328,16.92068576812744,13.847717046737671,-0.016418684,22.035064196063498,100
12.798514125280814,2.498598575592041,-6.5659224e-06,0.2500007152557373,0.020970582962036133,16.510990142822266,1405.3443856239319,20.263070674020796,82,830000,-29.302921806380038,76.92028721580337,16.782961130142212,13.669612407684326,-0.018187676,20.692870012089532,100
